 *tel    csi      Z      A                       Horn's Formula  Npar                                          Par0        Par1       Par2
    2      2      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2)))))     3      0.00306385  0.00826734    0.223642
    2      2      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2)))))     3      0.00306385  0.00826734    0.223642
    2      2      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2)))))     3      0.00306385  0.00826734    0.223642
    2      2      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2)))))     3      0.00306385  0.00826734    0.223642
    2      2      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2)))))     3      0.00306385  0.00826734    0.223642
    2      3      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2)))))     3     -0.00155486  0.00770721    0.185102
    2      3      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2)))))     3     -0.00155486  0.00770721    0.185102
    2      3      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2)))))     3     -0.00155486  0.00770721    0.185102
    2      3      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2)))))     3     -0.00155486  0.00770721    0.185102
    2      3      3      7  [0]+[1].(x-[2].7.pow(3,2).log(fabs((x+[2].7.pow(3,2))/([2].7.pow(3,2)))))     3     -0.00155486  0.00770721    0.185102
    2      3      3      8  [0]+[1].(x-[2].8.pow(3,2).log(fabs((x+[2].8.pow(3,2))/([2].8.pow(3,2)))))     3     -0.00155486  0.00770721    0.185102
    2      3      4      7  [0]+[1].(x-[2].7.pow(4,2).log(fabs((x+[2].7.pow(4,2))/([2].7.pow(4,2)))))     3     -0.00155486  0.00770721    0.185102
    2      3      4      9  [0]+[1].(x-[2].9.pow(4,2).log(fabs((x+[2].9.pow(4,2))/([2].9.pow(4,2)))))     3     -0.00155486  0.00770721    0.185102
    3      0      2      3  [0]+[1].(x-[2].3.pow(2,2).log(fabs((x+[2].3.pow(2,2))/([2].3.pow(2,2)))))     3     -0.00156725  0.00889967    0.303627
    3      0      2      4  [0]+[1].(x-[2].4.pow(2,2).log(fabs((x+[2].4.pow(2,2))/([2].4.pow(2,2)))))     3     -0.00156725  0.00889967    0.303627
    3      0      2      6  [0]+[1].(x-[2].6.pow(2,2).log(fabs((x+[2].6.pow(2,2))/([2].6.pow(2,2)))))     3     -0.00156725  0.00889967    0.303627
    3      0      3      6  [0]+[1].(x-[2].6.pow(3,2).log(fabs((x+[2].6.pow(3,2))/([2].6.pow(3,2)))))     3     -0.00156725  0.00889967    0.303627
